student_id,application_year,age,graduation_year,department,university_tier,cgpa,english_exam_score,attendance_rate,failed_courses_count,target_role,coding_score,problem_solving_score,data_structures_score,sql_score,machine_learning_score,backend_score,frontend_score,cloud_score,devops_score,project_quality_score,real_client_project_count,internship_count,internship_duration_months,freelance_project_count,hackathon_count,hackathon_awards,portfolio_score,github_repo_count,github_avg_stars,open_source_contribution_count,linkedin_profile_score,cv_quality_score,technical_interview_score,hr_interview_score,communication_score,teamwork_score,leadership_score,presentation_score,certification_count,bootcamp_count,applications_sent,interviews_attended,hobby,preferred_social_media_platform,career_success_score,mentor_feedback_text
STU_000011,2024,23,2023,0,3,2.81,40.69,87.45,3,7,83.43,85.9,82.99,78.62,88.03,81.5,98.70028323914428,81.74,81.79,38.87,2,0,5.0,0,0,0,23.37,2,2.33,1.0,37.87,73.66,25.72,50.67,38.05,71.89,28.97,64.86,1,5,15,2,3,1,32.37,9382
STU_000012,2026,24,2025,6,2,3.32,57.37218746545817,75.24,0,1,85.35,92.89,75.69,100.0,82.3,100.0,86.52,85.79,83.46,22.02,0,0,5.0,0,0,0,57.33377542548776,1,2.37,1.0,33.74,64.05,36.91,57.96,25.34,37.69,63.34,37.83,2,0,28,3,3,5,39.66,210
STU_000013,2024,24,2024,5,3,3.4,81.61,67.36,0,10,80.67,87.4,65.11,78.95,66.9,67.69,76.2,71.12,50.06,55.27,2,1,6.0,0,0,0,92.57,5,2.43,0.0,45.84,79.89,40.11,58.05,26.7,58.67,61.49,64.72,0,0,75,7,2,5,76.36,8046
STU_000014,2024,22,2024,4,1,3.23,53.24,85.73,0,1,79.63,76.34,76.62,84.9321342547258,53.41,86.56839546988019,74.15,58.07,74.29,32.25,2,2,11.0,0,1,0,41.47,3,2.55,3.0,53.557445349335616,26.34,12.13,77.4,79.7,57.77,40.99,41.28,2,1,94,14,4,5,76.9,4468
STU_000015,2023,28,2023,5,3,3.17,58.09,72.87,3,0,59.47,67.25,56.48,81.93,42.05789656570503,54.79,50.28,49.42,48.93,56.18,1,1,1.0,1,1,1,29.0,7,0.31,2.0,66.69,84.79,65.45,93.94,94.33,56.87,60.38,78.75,0,0,41,3,2,4,78.19,7677
STU_000016,2022,21,2021,3,1,2.8,67.12,85.22,1,0,58.94,53.79,71.94,60.58,64.40793482645003,58.09,60.9,78.3,52.42,90.29,0,0,4.0,0,3,0,21.11,7,2.21,3.0,74.63,83.15,63.5,27.4,72.26,60.3,69.39,53.51,2,1,39,6,6,1,87.58,5842
STU_000017,2020,23,2020,5,1,3.19,57.37218746545817,84.59,0,4,91.98,80.82,79.78,91.040793937813,78.99208004148714,72.01,57.48,65.24,57.92,78.88,2,0,4.0,2,3,0,73.17,12,2.38,3.0,91.86,65.0,25.03,70.7,40.16,46.23,42.07,79.54,4,0,46,4,0,0,82.61,2159
STU_000018,2026,22,2026,6,2,3.61,57.37218746545817,67.5,0,1,66.54,57.69,73.59,57.24256741643022,58.07,80.7529205171359,44.28,38.2,39.31,79.33,1,2,6.0,2,0,0,48.08,4,3.04,5.0,19.11,75.65,70.55,52.25,57.62,40.21,55.22,68.87,1,0,26,2,3,5,94.5,3341
STU_000019,2019,22,2019,2,0,2.13,61.87,82.87,1,7,48.61,61.52,40.09,54.02,37.17,55.57,54.37704211600975,32.84,56.86,30.35,2,0,4.0,1,1,0,22.51,4,0.92,2.0,46.89,65.69,64.46,38.67,81.3,83.1,40.12,41.47,2,0,29,5,4,4,58.24,6391
STU_000020,2026,25,2026,5,3,3.2,51.06,69.43,1,5,78.36,62.78,62.21,78.96679417094262,76.88736724937951,55.15,70.22,60.38,79.54,79.98,3,1,3.0,0,2,0,63.86,5,2.92,0.0,46.79,72.8,48.68,52.04,51.36,22.45,51.57,41.47,2,0,64,9,2,1,88.68,1926
STU_000021,2019,23,2018,3,2,2.87,36.75,91.75,2,10,61.72,72.82,89.28,72.84,81.98,78.08,93.96,61.99,82.01,81.79,1,1,1.0,4,0,0,68.16,12,1.42,2.0,48.68,43.79,70.27,57.4433546637744,75.28,42.71,39.19,33.9,0,1,25,1,4,5,78.64,6238
STU_000022,2023,26,2023,5,0,3.22,23.15,83.17,3,2,55.29,61.64,46.84,69.64,55.19,53.56,57.7,67.22153115233266,66.71490414870541,58.1,0,1,8.0,1,1,0,57.33377542548776,0,2.55,3.0,38.55,41.62,26.56,33.27,64.93,56.74,43.9,43.33,2,2,137,17,4,4,50.37,6218
STU_000023,2025,21,2025,3,1,3.45,37.47,98.64,1,1,82.51,90.3,83.36,100.0,84.79,100.0,87.57,79.5,64.3,24.77,3,3,8.0,2,0,0,76.9,9,20.71,9.0,43.17,32.61,38.65,57.4433546637744,61.27,53.52,70.95,67.43,0,2,28,0,3,3,78.08,582
STU_000024,2022,24,2022,1,1,2.68,60.19,83.68,1,2,86.87,74.65,63.72,83.92,83.93,85.53,78.44,75.25893721492088,100.0,69.77,4,0,6.0,2,2,0,78.83,11,1.68,1.0,44.39,27.05,63.36,68.05,27.44,43.47,51.4,61.93,2,2,99,8,6,5,89.1,2040
STU_000025,2025,23,2025,5,0,3.64,57.37218746545817,88.7,1,1,72.21,75.15,67.08,70.7770896366881,86.81,81.05813188355603,66.51,69.4,73.6,52.73,2,1,5.0,2,0,0,78.94,2,0.71,2.0,53.557445349335616,32.59,30.28,31.56,61.34,52.68,40.25,71.02,1,2,60,7,3,5,62.17,621
STU_000026,2021,24,2021,3,0,3.58,63.9,67.43,0,4,86.83,100.0,95.23,100.0,99.68044059769842,100.0,84.04,77.44,100.0,43.52,2,3,13.0,1,2,0,83.51,10,5.96,7.0,4.2,45.67,46.34,58.75,65.52,39.65,33.38,78.36,1,2,45,5,7,1,73.96,9582
STU_000027,2019,21,2018,5,0,3.25,47.04,79.95,0,7,69.01,69.18,61.84,74.41,71.13,66.28,73.4058600160086,83.21,48.4,76.77,1,1,5.0,2,1,0,81.19,13,5.63,8.0,75.06,34.1,72.51,56.73,46.96,50.34,48.68,53.67,1,1,53,5,3,0,93.96,2667
STU_000028,2019,23,2019,1,2,3.09,64.27,92.14,1,0,81.6,85.12,80.22,80.68,63.56446248722139,86.58,86.69,71.09,71.77,64.48,0,0,4.0,2,1,0,38.37,1,2.55,3.0,65.74,75.8,24.12,46.58,83.48,74.8,49.42,55.89,3,2,33,6,4,0,71.22,3047
STU_000029,2022,23,2022,5,2,2.78,36.19,85.4,1,0,48.87,60.82,41.98,37.62,61.9923089100054,66.36,51.72,46.91,60.97,38.11,1,2,6.0,3,0,0,73.24,1,2.55,3.0,75.74,14.65,83.43,34.43,56.48,42.26,41.47,60.59,2,1,39,4,0,0,46.77,5437
STU_000030,2025,25,2025,0,3,2.73,42.6,79.24,2,0,77.95,86.31,92.21,76.98,69.59737321172075,86.98,74.69,66.7,70.79,96.32,1,2,10.0,0,1,0,65.43,13,2.55,3.0,49.31,44.94,25.33,35.14,51.16,85.29,31.07,77.12,2,0,52,6,7,1,91.66,3912
STU_000031,2022,24,2022,4,2,3.27,47.86,64.42,2,5,72.72,86.28,64.1,89.72339529702673,84.43031488365226,63.4,56.62,55.64,62.39,62.79,1,2,5.0,0,1,1,62.22,6,2.3,4.0,76.3,81.84,34.73,49.61,67.72,67.28,64.53,55.67,0,0,27,3,5,1,77.38,7212
STU_000032,2026,23,2025,0,1,2.98,60.46,77.37,1,0,54.52,51.76,44.03,51.59,63.16280414812612,61.05,49.68,47.97,42.35,13.83,1,1,7.0,0,1,0,71.63,11,1.84,3.0,62.84,48.25,21.37,63.28,19.14,70.95,64.74,34.89,2,1,34,5,5,2,42.73,7736
STU_000033,2020,22,2020,0,1,3.2,49.72,91.99,2,1,77.73,71.32,86.94,84.7394531784585,75.02,87.12181766720511,65.6,72.58,55.12,87.77,4,2,9.0,1,1,0,88.35,10,5.82,3.0,28.75,69.44,37.84,31.7,44.48,73.27,59.14,80.11,1,0,66,8,3,5,90.67,192
STU_000034,2024,25,2024,5,2,3.49,83.8,86.11,0,7,74.04,77.61,65.08,81.24,85.27,56.45,76.41206202886391,67.26,63.57,49.37,0,0,4.0,1,0,0,23.6,8,6.06,2.0,47.93,70.6,64.83,77.94,57.81,72.6,56.09,45.86,2,2,54,5,5,4,78.91,2509
STU_000035,2023,24,2023,5,1,3.49,84.08,78.04,1,7,54.37,59.38,64.16,55.13,38.81,58.18,67.02227156133651,63.34,62.87,60.44,1,1,11.0,2,1,1,97.26,2,1.75,4.0,58.47,46.46,83.33,52.13,64.89,69.19,51.49,71.33,2,1,37,3,0,0,80.63,8214
STU_000036,2024,24,2024,1,0,3.51,61.89,74.88,1,1,29.73,42.31,26.24,33.375723074402345,25.3,29.26083675237788,26.14,35.28,20.0,38.99,0,1,11.0,0,0,0,55.05,6,0.8,2.0,41.38,86.33,84.05,42.19,40.17,57.39,28.94,52.19,2,1,82,10,2,0,63.63,3153
STU_000037,2019,23,2019,1,0,2.95,82.9,83.85,1,10,63.36,88.91,74.82,83.33,78.35,69.78,77.44,55.66,76.81,43.57,0,0,7.0,0,0,0,45.14,4,2.43,3.0,76.11,57.98,73.41,82.45,81.37,68.64,82.15,32.28,0,1,118,14,4,4,86.16,3807
STU_000038,2020,27,2019,0,0,3.17,92.89,93.8,0,10,100.0,95.78,88.48,83.2,76.68,96.02,95.73,70.59,97.81,71.23,2,1,12.0,1,2,1,76.71,5,1.6,1.0,82.82,51.67,43.4,42.74,32.96,68.48,45.83,61.65,3,2,49,3,5,4,97.73,5435
STU_000039,2019,24,2018,3,1,3.69,35.9,56.68,3,7,74.29,66.12,55.06,53.31,76.45,65.88,64.91297242078977,58.58,66.96,50.27,0,3,12.0,1,2,0,38.56,3,3.5,1.0,65.7,62.03,66.04,79.11,80.9,31.18,52.75,52.26,1,0,86,8,0,5,77.13,3152
STU_000040,2023,20,2023,0,2,3.29,51.05,80.17,1,3,67.2,68.25,60.27,52.44,65.7,64.24,68.29,55.99,70.78,27.5,1,1,7.0,1,1,1,70.15,7,1.08,1.0,91.67,80.07,41.74,24.35,91.06,65.7,36.26,59.04,3,0,48,5,3,4,71.31,3822
STU_000041,2021,22,2021,1,2,3.53,73.37,79.46,1,10,78.4,67.63,57.4,58.14,57.63,56.52,82.36,67.83,71.99,75.67,1,0,4.0,0,0,0,37.24,6,4.18,1.0,25.93,48.47,39.43,57.4433546637744,52.94,70.27,48.65,74.88,0,2,15,1,4,4,74.94,4814
STU_000042,2024,23,2023,0,2,2.77,49.49,79.96,2,3,72.55,73.27,94.49,81.41,100.0,91.45,99.54,83.7,88.87,81.52,3,3,14.0,2,0,0,88.94,10,10.42,7.0,75.66,21.35,70.99,56.86,84.05,65.59,67.66,51.88,2,0,37,3,1,4,100.0,4597
STU_000043,2025,24,2025,4,2,3.04,82.02,84.88,1,10,54.58,63.72,60.64,74.64,53.8,58.26,66.49,49.44,54.44,87.75,1,1,6.0,1,1,0,56.02,17,2.44,9.0,52.07,65.8,62.83,71.29,55.04,21.85,65.16,47.11,3,1,23,3,2,5,77.83,5349
STU_000044,2023,23,2023,0,1,2.51,49.15,77.65,0,0,77.24,70.18,57.02,80.46,79.10516165725129,62.6,50.64,57.8,58.64,90.21,0,1,7.0,0,1,0,55.95,12,9.15,12.0,36.12,74.79,90.67,72.31,91.96,97.18,77.62,35.93,1,4,14,1,4,3,100.0,36
STU_000045,2023,22,2022,5,3,2.98,57.37218746545817,69.21,2,4,62.69,68.36,64.04,80.81709397022097,73.68557813872262,59.61,82.21,62.64,68.11,96.0,1,0,4.0,5,1,0,93.88,7,3.95,4.0,28.03,62.68,96.15,56.22,79.38,59.67,79.74,59.38,0,1,69,12,2,0,100.0,4946
STU_000046,2022,27,2022,2,0,3.69,93.31,85.0,2,5,72.6,63.42,68.69,82.04794875628737,71.62494014993686,57.88,67.92,76.22,66.1,61.57,0,3,13.0,0,1,0,46.39,3,7.47,0.0,21.14,62.5,64.78,76.44,29.29,26.49,53.18,79.39,2,1,16,1,2,1,94.73,4889
STU_000047,2019,25,2019,0,2,3.1,52.76,96.41,1,1,82.28,77.93,50.53,72.53558350863345,83.52,80.53514929978951,71.83,80.5,63.54,69.62,0,2,5.0,2,1,1,60.78,11,3.98,9.0,70.74,88.84,69.06,67.77,67.21,68.23,21.84,61.75,0,3,21,2,3,4,87.49,583
STU_000048,2026,27,2026,0,3,3.18,55.49,84.65,0,0,65.34,66.64,59.98,58.94,75.83648481669992,61.14,70.91,47.57,60.84,54.84,2,0,4.0,2,1,0,29.99,7,2.55,3.0,52.29,56.69,73.4,32.28,91.98,66.65,62.09,83.92,1,1,70,7,1,2,85.52,294
STU_000049,2021,22,2021,6,0,2.99,52.8,75.82,2,5,67.64,68.98,64.74,55.15592598707712,41.63600625712557,79.49,50.51,41.61,59.47,69.96,1,1,11.0,1,1,0,34.08,4,7.07,3.0,84.47,55.12,66.75,62.39,71.64,37.1,42.94,67.29,4,0,7,0,5,0,72.85,7191
STU_000050,2020,20,2020,0,2,3.21,54.33,88.75,3,4,76.57,78.96,59.8,87.81322874216674,73.86110392159239,65.18,62.01,68.09,64.36,88.09,1,0,4.0,1,1,0,85.24,13,9.73,6.0,66.62,50.21,57.71,52.21,45.53,41.11,57.54,26.14,2,0,39,1,1,1,84.26,6685
STU_000051,2023,22,2023,2,3,2.42,43.0,69.34,2,7,62.52,54.81,27.75,65.88,66.36,42.67,43.76519753906428,55.47,36.2,86.38,1,0,4.0,0,0,0,88.72,11,17.95,8.0,63.73,68.14,91.72,57.4433546637744,29.46,46.37,55.83,60.42,1,1,35,1,2,2,88.76,3558
STU_000052,2024,21,2024,5,0,3.11,54.82,98.51,1,0,66.94,67.44,76.17,75.88,73.665838537453,73.31,74.75,67.0,61.13,64.63,0,3,14.0,0,2,0,54.39,6,1.85,2.0,35.81,64.25,53.31,68.53,30.45,36.13,69.1,74.42,1,1,36,5,2,4,71.44,1139
STU_000053,2023,25,2023,1,1,3.03,58.69,84.51,1,10,88.04,72.8,69.18,70.0,59.43,64.43,63.65,69.23,73.31,69.57,1,2,8.0,0,2,1,68.97,4,3.35,2.0,61.75,63.59,68.4,39.36,47.12,58.11,73.69,42.72,1,3,34,1,2,0,82.2,8132
STU_000054,2020,24,2020,2,2,3.02,68.24,77.96,3,7,74.45,72.78,79.36,66.7,38.18,62.29,93.36392496601604,65.35,61.6,88.6,2,0,3.0,0,0,0,56.38,6,1.68,2.0,58.39,31.81,68.66,57.4433546637744,78.3,53.16,41.85,67.09,4,0,20,2,2,5,95.55,5102
STU_000055,2023,21,2022,3,0,2.85,10.33,100.0,0,0,91.25,84.88,79.43,76.43,80.22458262071855,74.52,67.55,76.02,60.55,81.12,3,1,6.0,0,0,0,65.87,10,1.79,4.0,72.7,31.62,73.0,49.8,77.9,35.39,21.61,41.08,1,3,53,7,4,2,99.61,810
STU_000056,2026,23,2025,5,2,2.7,32.27,79.13,2,0,86.08,84.99,75.3,84.83,75.77728878470488,65.79,71.49,59.3,48.44,74.44,1,1,9.0,0,1,0,46.72,6,0.1,3.0,36.97,54.63,72.32,16.75,45.4,54.91,58.75,41.56,3,2,24,5,1,1,88.04,5516
STU_000057,2023,23,2023,0,2,3.35,54.49,82.04,2,6,89.52,76.52,65.1,85.51,74.94,82.43,73.13,96.58088775641868,65.768747418758,53.04,1,0,4.0,1,0,0,37.22,4,3.52,3.0,28.29,60.92,52.74,32.02,18.71,33.96,54.87,63.85,3,2,99,11,4,3,60.35,8688
STU_000058,2023,23,2022,0,1,2.96,80.22,91.59,1,7,73.7,70.02,68.48,67.14,53.27,75.29,57.28078148110409,66.91,67.3,65.11,3,1,6.0,1,3,0,61.66,4,1.41,3.0,59.18,79.87,29.85,87.65,46.41,23.45,31.5,31.69,1,2,63,6,7,2,69.48,3415
STU_000059,2020,25,2020,5,3,3.63,39.97,83.04,1,1,48.5,60.48,53.98,47.717403984171,51.67,65.5425755010979,69.8,51.68,33.16,26.38,1,1,8.0,0,1,0,62.93,5,0.14,2.0,86.23,58.71,88.79,76.59,51.39,64.93,16.73,44.4,2,2,112,9,2,0,77.66,3704
STU_000060,2024,20,2024,3,3,4.0,80.93,78.87,2,7,61.17,63.01,58.03,64.39,75.94,59.59,67.97979394007373,56.93,59.5,69.56,1,1,5.0,0,0,0,35.58,4,1.06,4.0,54.76,47.11,48.43,54.43,46.09,39.01,68.27,32.69,1,2,9,0,3,5,61.37,9641
STU_000061,2020,26,2020,3,2,3.07,28.62,85.96,3,10,62.88,77.14,63.2,53.12,56.28,65.65,71.49,55.51,60.12,25.09,2,1,0.0,0,2,1,54.28,7,2.55,3.0,58.3,61.18,78.82,69.12,80.95,65.23,55.61,52.5,2,3,14,2,4,2,82.55,2906
STU_000062,2025,21,2025,6,3,2.65,33.31,75.83,1,6,66.07,83.77,79.82,92.4,75.1,68.05,74.34,67.41548747228813,76.77830775164064,96.48,4,2,8.0,5,0,0,87.73,10,2.34,6.0,75.87,46.35,90.14,46.07,72.02,57.9,76.36,53.59,4,1,69,7,6,2,100.0,2091
STU_000063,2025,20,2025,5,0,2.81,38.46,84.31,0,2,59.41,48.61,56.49,52.27,44.47,74.35,45.82,62.11519735439938,45.968074327655415,28.92,1,1,10.0,0,0,0,67.54,4,3.1,0.0,22.08,69.43,33.57,54.51,64.63,55.1,70.12,32.63,2,1,22,3,0,2,67.95,3202
STU_000064,2020,24,2020,6,1,4.0,48.92,100.0,1,1,54.31,71.06,69.5,58.11360260451766,50.78,60.342722405749406,59.59,58.49,34.38,96.59,0,0,0.0,1,4,0,57.33377542548776,17,4.66,10.0,60.12,46.67,30.28,65.87,67.28,34.5,13.99,40.36,2,4,34,3,7,2,81.69,4981
STU_000065,2023,23,2022,5,0,3.15,86.51,87.23,1,10,71.98,71.0,59.37,67.75,55.06,80.68,54.96,62.4,53.78,82.51,3,1,4.0,2,1,0,87.46,10,4.25,7.0,30.58,48.83,43.87,37.11,26.58,96.76,78.17,36.63,2,0,33,2,0,3,86.55,6317
STU_000066,2020,24,2020,5,1,3.3,32.39,70.03,1,10,83.25,55.65,73.2,61.45,73.11,61.3,82.62,57.36,42.31,48.53,1,0,4.0,1,0,0,64.67,4,5.49,4.0,38.09,70.4,85.94,87.14,33.98,18.4,44.69,57.73,1,2,63,9,6,1,67.11,3522
STU_000067,2025,23,2024,6,1,2.46,88.67,93.85,5,2,57.43,70.98,50.92,44.46,53.42,59.69,51.8,35.914903452610126,67.49583639270483,30.69,1,1,4.0,2,2,1,23.75,2,0.75,3.0,53.557445349335616,38.97,41.2,86.92,39.22,83.53,35.21,61.99,3,2,60,2,1,4,38.73,9903
STU_000068,2024,26,2024,0,2,3.06,43.3,71.43,1,7,51.74,64.46,66.7,54.71,43.72,64.6,65.81701542101554,62.87,52.73,74.1,2,1,7.0,0,2,1,59.86,6,6.48,2.0,70.4,73.5,56.92,20.95,64.49,41.8,75.18,63.57,2,2,31,2,3,1,79.64,757
STU_000069,2019,21,2019,5,1,2.6,44.69,69.35,1,7,49.57,47.04,59.6,55.81,38.56,49.82,44.49177426744593,56.2,58.1,62.14,1,1,4.0,0,0,0,39.26,3,3.34,2.0,32.98,75.56,61.48,59.66,85.74,74.52,62.06,83.01,1,0,6,0,6,4,68.98,8239
STU_000070,2022,25,2021,1,2,2.59,42.82,71.24,0,10,45.53,35.0,40.58,42.18,39.65,39.9,34.0,61.5,56.68,35.65,0,0,2.0,2,1,0,54.3,10,3.72,6.0,80.19,88.06,72.54,68.56,52.79,64.25,70.67,15.85,2,1,43,6,7,4,79.98,2233
STU_000071,2019,24,2019,0,1,3.11,41.32,90.31,2,10,64.78,49.78,72.63,60.05,71.45,52.87,67.08,53.16,61.18,64.15,0,2,10.0,2,1,1,57.33377542548776,6,2.55,3.0,53.8,47.22,80.36,57.4433546637744,62.4,47.55,71.49,38.39,2,1,27,1,2,4,72.22,5286
STU_000072,2024,20,2024,1,2,2.96,21.65,77.4,4,2,81.52,95.25,95.87,89.68,77.95,100.0,94.02,93.09783035026427,98.7584203329204,45.76,2,0,4.0,1,1,0,65.13,22,3.18,6.0,17.63,68.02,70.68,41.35,78.39,66.02,49.69,90.63,2,1,29,3,2,5,93.7,1672
STU_000073,2021,22,2020,5,2,2.57,51.82,78.73,1,4,46.93,75.51,89.32,76.26361748351674,47.030574766227545,54.26,68.09,63.04,56.01,55.7,1,3,18.0,1,0,0,36.24,5,0.36,3.0,67.1,30.02,25.51,95.27,23.8,50.27,42.67,21.54,3,0,43,2,3,4,53.38,7044
STU_000074,2022,22,2022,3,1,3.2,54.8,81.03,0,1,87.77,100.0,92.26,100.0,82.89,100.0,86.4,57.03,73.13,15.43,2,2,9.0,0,0,0,75.32,4,2.02,3.0,70.74,15.35,8.0,52.76,30.47,68.22,28.87,42.58,2,2,53,3,1,5,78.28,434
STU_000075,2020,22,2020,0,3,2.92,49.14,73.47,1,1,67.28,54.88,70.26,62.032835579027584,60.62,74.29377814787553,52.56,59.35,50.4,70.37,0,1,6.0,2,0,0,55.99,6,2.23,2.0,63.35,39.35,57.04,85.89,39.65,50.37,49.21,48.56,1,1,36,3,4,3,68.28,363
STU_000076,2025,22,2025,2,1,3.51,73.94,92.86,2,2,60.72,54.33,76.79,75.87,50.78,62.06,53.61,74.32852785806634,69.97959223853944,72.34,1,1,5.0,0,1,0,53.17,8,2.55,3.0,67.03,78.98,29.72,40.62,51.74,51.83,86.55,62.48,3,2,23,2,2,3,73.26,5296
STU_000077,2020,20,2020,1,1,2.9,18.84,80.89,1,7,71.37,64.28,74.63,73.19,68.82,78.72,76.91985046284438,60.38,70.73,70.42,0,1,8.0,0,0,0,73.11,5,2.25,2.0,47.9,93.6,42.89,63.1,53.77,38.35,69.15,66.72,1,0,23,3,1,2,71.52,2711
STU_000078,2024,20,2024,3,1,3.25,21.22,82.83,1,4,94.33,85.56,86.61,98.32486238364773,75.82711509424519,99.34,83.76,77.23,80.05,69.25,2,1,7.0,1,1,0,81.16,12,10.55,5.0,27.41,23.35,72.42,44.45,24.31,60.2,39.2,30.32,1,2,20,1,2,2,75.83,6912
STU_000079,2022,21,2022,2,2,3.33,66.73,61.18,0,5,77.06,72.97,65.04,89.71903875886878,59.41205381746183,72.65,70.86,79.29,71.71,52.85,1,1,0.0,0,0,0,61.45,4,5.04,0.0,66.49,78.23,87.08,56.63,80.06,72.94,17.56,43.14,3,1,91,10,7,2,54.53,3003
STU_000080,2024,25,2024,0,2,3.26,76.67,87.35,1,2,56.27,74.72,79.03,66.95,84.34,58.1,80.96,94.87397149520264,58.48127357248016,68.47,0,0,0.0,0,2,0,61.13,6,3.02,1.0,67.52,24.25,82.38,84.14,59.56,63.63,58.6,94.44,2,1,65,5,1,1,87.93,1739
STU_000081,2019,23,2019,5,3,3.08,57.37218746545817,82.81,0,7,71.85,71.89,83.91,55.99,69.18,80.0,92.78475871945996,76.82,84.84,25.27,4,2,4.0,2,0,0,31.59,4,0.46,0.0,81.65,84.93,76.51,34.89,49.97,18.0,75.44,20.31,2,2,29,3,2,5,49.77,909
STU_000082,2025,23,2025,5,0,3.22,52.21,66.37,0,1,99.16,80.21,64.61,98.90671344543576,73.75,93.64760203225777,100.0,63.89,69.63,77.3,0,1,7.0,0,0,0,54.45,5,2.02,3.0,54.45,52.09,53.41,57.4433546637744,41.82,53.98,81.08,40.16,1,1,140,17,1,4,100.0,4545
STU_000083,2021,24,2021,5,2,3.86,53.67,79.69,1,1,54.45,70.81,70.93,62.63208986723589,74.15,73.27762133541334,74.93,63.51,46.43,68.33,4,2,8.0,0,2,1,65.88,6,0.67,0.0,79.59,89.31,82.49,27.12,35.96,73.72,51.72,51.69,2,2,17,1,7,1,88.87,3615
STU_000084,2021,23,2021,1,2,2.68,38.3,74.0,1,5,100.0,85.31,81.71,83.32618089560424,65.51599953255374,74.4,77.01,84.63,79.53,60.58,2,1,4.0,1,2,0,24.3,1,2.55,3.0,77.29,68.56,86.59,51.91,45.35,26.73,57.79,74.44,3,1,23,3,7,1,62.27,7134
